titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,source,date_publication,caracteristiques
نيمرو أفكرن من سكتير 6 صاد إعلى موديل L,Terrain,Vente,4700000,400.0,,,,Tevragh Zeina,Nouakchott,نيمرو أفكرن من سكتير 6 صاد إعلى موديل L شارع 20م٢ مساحة 400م٢ ,voursa.com,2025-09-02,Taille rue: N/A | Proche de: أتاك الخير 2
ابرتمهات فهاش 8,Appartement/Maison,Vente,6500000,216.0,4.0,1.0,,Teyarett,Nouakchott,"سعر  65 مليون  دخلهم 400ول 500  
حد ادورهم تلفنل اعل واتساب وتوف 26678975",voursa.com,2026-02-26,Titre foncier | type de propriété: Appartement | 1 balcon(s) | Taille rue: 15.00 | Proche de: هاش 8
نص نيمرو من سكتير 5 رقم 1026 للبيع ,Terrain,Vente,2800000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نص نيمرو مساحة 300م# من سكتير 5  رقم 1026 مبيوع ب 28مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-05-21,Taille rue: N/A | Proche de: سكتير 5
نيمرو من اسكان,Terrain,Vente,2850000,385.0,,,,Tevragh Zeina,Nouakchott,"*855 من الإسكان  مبيوع ب 28,5 مليون*",voursa.com,2025-08-17,Taille rue: N/A | Proche de: اسكان
300م# من مدال m اسويت فاتح اعلي مدلل m لاول للبيع ,Terrain,Vente,1700000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 300م# من مدال m اسويت رقم نيمرو 151  فاتح اعلي مدال m لاول مبيوع ب  17مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-05-23,Taille rue: N/A | Proche de: مدال m اسويت
ابارتماه 160الف مستقل قرب سفارة الأمريكية ,Appartement/Maison,Location,16000,150.0,3.0,1.0,,Tevragh Zeina,Nouakchott,ابارتماه حديث مستقل فيه 3غرف و جلسة و كراج موقع ممتاز لسكن المريح قرب كارفور القدس ,voursa.com,2025-10-13,type de location: Location au mois | 19 balcon(s) | Taille rue: N/A | Proche de: كارفور القدس كدروه انواذيب  | Garage
دار فكرفور اعل شارع اكبير ,Appartement/Maison,Vente,1400000,180.0,5.0,2.0,,Arafat,Nouakchott,دار فكرفور احذ كراج الدولة منقوشة و مكروية وتكفاله زين ,voursa.com,2025-11-14,Titre foncier | 1 balcon(s) | Taille rue: 20.00 | Proche de: كراج الدولة | Garage
أبرتماه للإيجار أف سوكوجيم عين الطح ألا ب 70 ألف أفانص أشهر واحد,Appartement/Maison,Location,7000,120.0,2.0,1.0,,Teyarett,Nouakchott,"أبرتماه للإيجار أف سوكوجيم عين الطح ألا ب 70 ألف أفانص أشهر واحد 
فيه صالون أصغير وبيت أركاد وفراند وبالكون وكوزين ودوش
للإتصال أو الواتساب 
36417043",voursa.com,2026-01-19,type de location: Location au mois | type de propriété: Appartement | Taille rue: N/A | Proche de: أبارك سوكوجيم عين الطح 
دار للبيع في نواذيبو,Appartement/Maison,Vente,1300000,180.0,5.0,1.0,,Nouadhibou,Nouakchott,Maison a vendre Ndb,voursa.com,2026-02-16,type de propriété: Appartement | Taille rue: 10.00 | Proche de: 6 ème robinet 
فرصة 300م من سكتير 2 قرب جامبور إعلى شارع 15م,Terrain,Vente,3200000,300.0,,,,Tevragh Zeina,Nouakchott,فرصة 300م من سكتير 2 قرب جامبور ب 32 مليون,voursa.com,2025-07-14,Taille rue: N/A | Proche de: جامبور 
150 من سكتير 2 بلوكات ,Terrain,Vente,1260000,150.0,,,,Tevragh Zeina,Nouakchott,"150م من سكتير 2 بلوكات بلده ابيظ
كريب من كدروه
لمساحة 150م
تالي فيه 12مليون و 600
حد مهتم بيه امعان 22576577",voursa.com,2025-11-20,Taille rue: N/A | Proche de: 150م من سكتير 2 بلوكات
ديبلكسين للبيع ,Appartement/Maison,Vente,11000000,220.0,4.0,2.0,,Tevragh Zeina,Nouakchott,"#للبيــــــــــــــــــــــع
فرصة إستثماريه 2 ديبلكس  فصحراوي  كريب 
من ستاصيوه ريم ريم 
دبلكسات نظيفات وبنياهم عصري. كلهم مساحته 220 
هاذ ديبلكسات أمبيع هوم ثنتين ب 110 
حد مهتم بيهم يتواصل معان 
#للتواصل

‏مراسلة  عبر واتساب. https://wa.me/22243414552",voursa.com,2025-04-24,2 balcon(s) | Taille rue: 20.00 | Proche de: ستاصيوه ريم 
نص نيمرو فسكتير 5 فيه شانتيي,Terrain,Vente,5500000,300.0,,,,Tevragh Zeina,Nouakchott,*26 من سكتير 5 فيه شانتية  300 م² ب 55 مليون*,voursa.com,2025-08-04,Taille rue: N/A | Proche de: سكتير 5
فرصة نص نيمر للبيع 300 ف سيكتير 5 اكريب من كدروه,Terrain,Vente,3800000,300.0,,,,Tevragh Zeina,Nouakchott,فرصة نص نيمر ف سكتير 5 اكريب من كدروه موقع جيد ,voursa.com,2026-02-05,Titre foncier | Taille rue: 20.00 | Proche de: سكتير 5
نيمرو من الفوز البوادي أفكرن إعلى شارع 30م ,Terrain,Vente,3800000,400.0,,,,Teyarett,Nouakchott,"عندي ذاك النيمرو رقم 2030 من الفوز إعلى شارع 30م مُبرمج كدروه وفكرن شارع 20م مساحة 400م٢ كايل 38 مليون مكتمل الأوراق

",voursa.com,2025-11-17,Taille rue: N/A | Proche de: محمد الامين 2
أبرتماه التحت للإيجار في الصكوك أكريب من شهرزاد ألا ب 90 أفانص 3 اشهر,Appartement/Maison,Location,9000,200.0,2.0,2.0,,Teyarett,Nouakchott,"أبرتماه التحت للإيجار في الصكوك أكريب من شهرزاد ألا ب 90 أفانص 3 اشهر
فيه صالون وبيت أركاد وهول وفراند وكوزين ودوش ",voursa.com,2025-03-25,type de location: Location au mois | 1 balcon(s) | Taille rue: 6.00 | Proche de: شهرزاد 
Grand magasin à la cité plage ,Local commercial,Location,40000,300.0,,,,Tevragh Zeina,Nouakchott,Magasin bien placé au carrefour de la cité plage juste au feu rouge ,voursa.com,2026-01-21,type de location: Location au mois | Taille rue: N/A | Proche de: Feu rouge cité  | plage
نص نيمرو فسكتير 4,Terrain,Vente,3200000,300.0,,,,Tevragh Zeina,Nouakchott,"فرصة نصف نيمرو من سكتير 4 أفنور بين المنازل 
مساحة 300م٢
الثمن 32M فقط",voursa.com,2025-06-09,Taille rue: N/A | Proche de: سكتير 4
دار ارضية للايجار ,Appartement/Maison,Location,12000,216.0,3.0,2.0,,Ksar,Nouakchott,دار أرضية  تتكون من صالوه  كبير  وبيت ارقاد  ودوش و غرفة  أخري  وهول  و مطبخ و مكزينه  ودوش عام  وتهوية خارجية ,voursa.com,2025-07-31,type de location: Location au mois | 1 balcon(s) | Taille rue: 8.00 | Proche de: مسجد أبو عبيدة  لبراق سابقا | Caméra de sécurité
نيمرو فكرن من سكتير 6 للبيع ,Terrain,Vente,7300000,700.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو من سكتير 6 مساحة 700م# فكرن مبيوع ب 73مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-10-28,Taille rue: N/A | Proche de: سكتير 6 
للبيــــــــــــــــــــــــــــــــــــــــــــــــــــــع نيمرز فبوش 9,Terrain,Vente,6500000,534.0,,,,Tevragh Zeina,Nouakchott,"للبيــــــــــــــــــــــــــــــــــــــــــــــــــــــع نيمرز فبوش 9
عندو أوراق التاليين مكتمله وبلو زين وراكب 
مساحتو  من534م مبيوع فرصه ب 36مليون ونص قابلة للتفاوض ",voursa.com,2025-10-14,Taille rue: N/A | Proche de: بوش ٩
قطعة أرض فسكتير 3 F Nord إعلى كدروه وفكرن ,Terrain,Vente,6000000,450.0,,,,Tevragh Zeina,Nouakchott,قطعة أرض فسكتير 3 F Nord إعلى كدروه وفكرن مساحتها 450م٢ ,voursa.com,2025-08-04,Taille rue: N/A | Proche de: كدروه الصكوك 
150م# من سكتير 6,Terrain,Vente,1600000,150.0,,,,Tevragh Zeina,Nouakchott,السلاح عليكم هذ 150م# فاتح اعلي شارع 20 من سكتيير 6 مبيوع ب 16مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-05-28,"Taille rue: N/A | Proche de: ,سكتير 6"
بلوكات سكتير 1 إعلى شارع 30م٢ ,Terrain,Vente,3500000,700.0,,,,Tevragh Zeina,Nouakchott,بلوكات سكتير 1 إعلى شارع 30م٢ مساحة 700م٢ كايل 35 مليون ,voursa.com,2025-05-09,Taille rue: N/A | Proche de: بلوكات سكتير 1
نيمرو 250,Terrain,Vente,2700000,250.0,,,,Tevragh Zeina,Nouakchott,*ذاك 976 من سكتير 4  مبيوعة منو  250م²  ب 27*,voursa.com,2025-06-05,Taille rue: N/A | Proche de: سكتير 4
قطعة ارضية,Terrain,Vente,4500000,300.0,,,,Teyarett,Nouakchott,"قطعة الأرضية رقم 174 ضارعه كبير و احتمال يقدرن في شرم الشيخ البوادي تستر فرنسي
تراب 300مبيوع فرصة 45مليون قابل للنقاش بقليل",voursa.com,2026-02-27,Titre foncier | Taille rue: 25.00 | Proche de: بوادي
دار مافات اندخلت اجديدة للإيجار ماه ابعيد من كرفور جامبور فاتح اعل رامبلة ,Appartement/Maison,Location,45000,600.0,5.0,3.0,,Tevragh Zeina,Nouakchott,41665530,voursa.com,2025-07-23,type de location: Location au mois | 2 balcon(s) | Taille rue: 20.00 | Proche de: كرفور جامبور  | Garage
استوديهين و اربع اباتيك فعرفات,Local commercial/industriel,Vente,1900000,300.0,,,,Arafat,Nouakchott,نيمروين اعل كدروه عند الدايه 10 فيهم استيديوهين و اربع اباتيك امدخلين 150الف ,voursa.com,2025-11-07,Taille rue: N/A | Proche de: الداية 10
سمعة للبيع في عرفات الداية 18,Appartement/Maison,Vente,1200000,12.0,5.0,2.0,,Arafat,Nouakchott,سمعة للبيع في عرفات الداية 18 فاتحة اعل بارك .السهر لأولي 12 مليون قابلة للنقاش,voursa.com,2025-07-30,2 balcon(s) | Taille rue: 10.00 | Proche de: الداية 18
ديبلكس فسكتير 4,Appartement/Maison,Vente,7000000,200.0,4.0,3.0,,Tevragh Zeina,Nouakchott,ديبلكسات بريمير شوى فسكتير 4 مساحة الواحد 200م٢ أكريب من كدروه الشارة بسعر 70 مليون للواحد ,voursa.com,2025-03-26,Titre foncier | 1 balcon(s) | Taille rue: 20.00 | Proche de: مخبزة المرابع  | Garage
دار فكرن وفاتح ف ابرك فعرفات بين الداي 20 والداي 19 للبيع ,Appartement/Maison,Vente,800000,150.0,3.0,2.0,,Arafat,Nouakchott,السلام عليكم هذ دار فكرن فاتح ف ابرك في عرفات بين الداي 20 والداي 19 بالقرب من معهد ول الددو مبيوع ب 8ملاين للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-04-14,1 balcon(s) | Taille rue: 20.00 | Proche de: معهد تكوين العلماء
منزل من طابقين,Appartement/Maison,Vente,600000,15.0,7.0,2.0,,Arafat,Nouakchott,"منزل من طابقين فكارفور 
بجانب مدارس الإصلاح الرائد واعدادية عرفات 2
بنيان قديم 
شارع 6   متر",voursa.com,2025-08-25,Titre foncier | 2 balcon(s) | Taille rue: 6.00 | Proche de: اعدادية عرفات 2 | Garage
أبرتماه للإيجار بالقرب من كدروه السنوار أجديد مافات أندخل,Appartement/Maison,Location,13000,180.0,2.0,1.0,,Teyarett,Nouakchott,"أبرتماه للإيجار بالقرب من كدروه السنوار أجديد مافات أندخل ألا ب 130 ألف أفانص شهرين 
فيه صالون وبيت أركاد وهول وفراند وكوزين ودوش 
للإتصال أو الواتساب 
36417043",voursa.com,2025-12-25,type de location: Location au mois | type de propriété: Appartement | 1 balcon(s) | Taille rue: N/A | Proche de: كدروه السنوار 
منزل فعرفات الداية 19,Appartement/Maison,Vente,1500000,120.0,3.0,2.0,,Arafat,Nouakchott,منزل فعرفات الداية 19,voursa.com,2025-10-14,Titre foncier | 1 balcon(s) | Taille rue: 12.00 | Proche de: الداية 19 | Garage
نيمرو من H souit أفكرن قريب من كدروه انواذيبو ,Terrain,Vente,4000000,600.0,,,,Tevragh Zeina,Nouakchott,نيمرو من H souit أفكرن قريب من كدروه انواذيبو مساحة 600,voursa.com,2025-08-15,Taille rue: N/A | Proche de: طريق انواذيبو 
نيمرو من الصحراوي,Terrain,Vente,7500000,500.0,,,,Tevragh Zeina,Nouakchott,*1918 من الصحراوي 500 م² ب 75 مليون*,voursa.com,2025-05-24,Taille rue: N/A | Proche de: الصحراوي
طابق سفلي مجهز بشكل حديث,Appartement/Maison,Location,7000,120.0,2.0,1.0,,Arafat,Nouakchott,"طابق سفلي جديد 
غرفتين +صالة + مخزن +حمام + مطبخ أنيق 
(ماء كهرباء انترنيت)
مقابل لجامع السلام (من منزلك تصلي مع الجماعة خلف الامام ) كل خدمات محل تجار مخبز .... قريب ",voursa.com,2025-08-08,type de location: Location au mois | Taille rue: 30.00 | Proche de: مجمع الزيتونة 
دار فساميا ,Appartement/Maison,Vente,2000000,240.0,3.0,1.0,,El Mina,Nouakchott,مارته لين تعود جاي من عند الدايات 3 تكدم عنه اعل طريك لكوارب اول كدروه ليه اجيك ايديك العربيه واعد ساميا سعر 20 مليون  واجديد وتكفاله زين تلفنل اعل واتساب 26678975,voursa.com,2026-01-13,Titre foncier | type de propriété: Appartement | 1 balcon(s) | Taille rue: 15.00 | Proche de: الدايات 3
نيمرو زين أفكرن من H3 المحولة ,Terrain,Vente,1200000,216.0,,,,Teyarett,Nouakchott,نيمرو زين أفكرن من H3 المحولة عندو برمة وكيتانص مبيوع ب 12,voursa.com,2025-07-28,Taille rue: N/A | Proche de: H3
200م٢ من سكتير 4 بينها نيمرو مع كدروه الشارة ,Terrain,Vente,2450000,200.0,,,,Tevragh Zeina,Nouakchott,فرصة 200 من سكتير 4 بينه نيمرو واحد امع كدروه الشاره با 24 مليون و 500,voursa.com,2025-10-15,Taille rue: N/A | Proche de: صيدلية صحراوي 
نيمرو من سكتير 1 كتاب الضبط للبيع ,Terrain,Vente,3000000,700.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو من سكتير 1 كتاب الضبط مساحة 700م' اكريب من كدروه صاد اعلي جيهت لبحر مبيوع ب 30مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-11-07,Taille rue: N/A | Proche de: كتاب الضبط سكتير1
شانتي ففلوجه,Appartement/Maison,Location,130000,180.0,1.0,1.0,,Arafat,Nouakchott,"شانتية في الفلوجة 
تمباع ب 13 مليون
نفطية وفاتح اعل شارع كبير حد شاري ول عندو طلب تلفنل اعل واتساب 26678975",voursa.com,2025-12-17,Titre foncier | type de propriété: Appartement | 1 balcon(s) | Taille rue: 15.00 | Proche de: الفلوجه
4 آبارتماهات امعاهم بتيك اجدد للبيع افعين الطلح من فوك H3 .كد مسجد المجلسي ,Appartement/Maison,Vente,6500000,216.0,8.0,8.0,,Teyarett,Nouakchott,"4 آبارتماهات تحتهم بتيك للبيع افعين الطلح من فوك H3.
كد مسجد المجلسي 
كلهم فيه صلوه ؤبيت اركاد ابدوشوه ؤجلسة ؤمطبخ ؤحمام عام
منقوشين النقش الزين ؤتكفالهم نظيف.
اجدد مافاتو انسكنو
فاتحين اعل ابارك وافكرن
صادين اعل جيهة لبحر

المساحة 216م²
دخلهم المتوقع 500.000 / شهر 

اب 65 مليون قديمة 

41545765",voursa.com,2025-10-24,2 balcon(s) | Taille rue: 20.00 | Proche de: مسجد عمر بن عبد العزيز ( مسجد المجلسي)
فرصة ديبلكس فغنودرت ,Terrain,Vente,4200000,300.0,,,,Tevragh Zeina,Nouakchott,"فرصة ديبلكس فغنودرت مساحة 300م٢ مبيوع ب 42
",voursa.com,2025-05-31,Taille rue: 0.00 | Proche de: اغنودرت 
دار للبيـــــــــــــــــــــع أفي المطار القديم بلوك 24,Appartement/Maison,Vente,3200000,180.0,3.0,2.0,,Dar Naim,Nouakchott,"فرصة  ذهبيه للبيــــــــــــــــــــــع جديد مافات اندخلت برنير شواء
دار فلمطار القديم بلوك24
اعل شارع 12المساحه180m²
كريب من كدروه فيه3بيوت وصلوه وجلسه وكراج وكوزين ودشات وتهوي سعر32مليون من مجمع بلال حد مهتم يتواصل معاي 27273277",voursa.com,2025-10-26,1 balcon(s) | Taille rue: 12.00 | Proche de: دار للبيـــــــــــــــــــــع أفي المطار القديم بلوك 24
دار فالفلوجة,Appartement/Maison,Vente,1300000,150.0,3.0,1.0,,Arafat,Nouakchott,دار فالفلوجة احذ صيدلية إيمان منقوشة و مكروية بينه مع كدروه دار وحده ,voursa.com,2026-01-28,Titre foncier | type de propriété: Appartement | 1 balcon(s) | Taille rue: 10.00 | Proche de: صيدلية إيمان  | Garage
نيمرو من اتراب البنك اور أتاك الخير اعلي كدروه للبيع ,Terrain,Vente,8000000,400.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو افكرن اعلي كدروه اور أتاك الخير من اتراب البنك مساحة 400م#  تيتر افوصي مبيوع ب 80مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2026-02-03,Taille rue: 30.00 | Proche de: أتاك الخير 
دبلكس للايجار فمنطقة البوادي الفوز,Appartement/Maison,Location,25000,200.0,4.0,2.0,,Teyarett,Nouakchott,دبلكس للايجار. منطقة البوادي الطابق التحتاني فيه :صلونه و بيت وجلسة وبيت عامل وكراج وتهوية و كوزين ودوش .الطابق الفوكاني: فيه بيت اركاد وبيت جماعة وجلسة ودوش وبلكونه وتهوية حذ بلكونه .,voursa.com,2025-07-29,Titre foncier | type de location: Location au mois | 1 balcon(s) | Taille rue: 20.00 | Proche de: البوادي | Garage
دار قيد الإنشاء,Appartement/Maison,Vente,8500000,600.0,0.0,0.0,,Tevragh Zeina,Nouakchott,"عاااجل فرصه ما تعوض عندنا دار قيد الانشاء ( شانتيه)في مودل M اسويت  مساحتها 600 اكبيره و تكفالها فيها و اكلييل الخاصها
السعر 85 حد مهتم يتواصل امعان الواتس: 48889930",voursa.com,2025-12-22,Titre foncier | type de propriété: Autre | Taille rue: 30.00 | Proche de: موديل M
نيمرو من شرم الشيخ 300 م² أفكرن فرصة,Terrain,Vente,3700000,300.0,,,,Teyarett,Nouakchott,47 من شرم الشيخ 300 م² أفكرن ب 37 مليون فرصة,voursa.com,2025-10-01,Taille rue: N/A | Proche de: كدروه الشارة 
منزل منزل للبيع برمير فاتح على كدروه ,Appartement/Maison,Vente,2700000,300.0,5.0,2.0,,Teyarett,Nouakchott,"السلام عليكم 
دار نظيفة للبيـــــــــــــــــــــع برمير فاتح على كدروه 
فيها بيتين ركاد بيتين سغار صالون جلسة كوزين+ كوزين ودوشات 
اكراج تهوية 
منقوشة مكروية 
المساحة300+
السعر 27 مليون 
لفيديو فالخاص ",voursa.com,2025-04-16,Titre foncier | 2 balcon(s) | Taille rue: 30.00 | Proche de: مسجد التجانيين التجانيين  | Garage
أبرتماه للإيجار في الصكوك أكريب من شهرزاد ألا ب 100 أفانص 3 اشهر,Appartement/Maison,Location,10000,150.0,2.0,2.0,,Teyarett,Nouakchott,"أبرتماه للإيجار في الصكوك أكريب من شهرزاد ألا ب 100 أفانص 3 اشهر
فيه صالون وبيت أركاد وهول وفراند وكوزين ودوش 
للإتصال أو الواتساب:
36417043",voursa.com,2025-09-09,type de location: Location au mois | 1 balcon(s) | Taille rue: N/A | Proche de: شهرزاد
نيمرو ف سوكوجيم عين الطلح 150 متر مربع فاتح اعل شارع 8,Terrain,Vente,750000,150.0,,,,Teyarett,Nouakchott,نيمرو فعين الطلح مساحة 150 مربع فاتح فشارع 8 بين دار وحده مع الساحه لكبيره الموجوده في الصوره وحذاه مدرسة ,voursa.com,2025-07-09,Taille rue: N/A | Proche de: جنب مدرسه لمرابط ابراهيم 
ابرتماه اجديد للإيجار لم يسكن من قبل قرب سفارة امريكا,Appartement/Maison,Location,15000,200.0,3.0,2.0,,Tevragh Zeina,Nouakchott,يتكون من صالون غرفتين جلسة حمامين مطبخ كراج مدخل مشترك,voursa.com,2025-06-20,2 balcon(s) | type de location: Location au mois | Taille rue: 20.00 | Proche de: سفارة أمريكا  | Garage | Caméra de sécurité
نيمرو في الجامعه لاول الحي الجامعي للبيع ,Terrain,Vente,4200000,600.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو من الجامعه لاول الحي الجامعي مساحة 600م# مبيوع ب 42مليون للإستفسار اكثر اتصلوا علي الرقم التالي 49546950,voursa.com,2025-05-12,Taille rue: N/A | Proche de: الحي الجامعي
سكتير 6 افنور ,Terrain,Vente,5500000,880.0,,,,Tevragh Zeina,Nouakchott,نيمرو من سكتير 6 افنور متوالي سكتير 5 مساحة 880م٢ أعلى شارع 30م وجايو شارع 20م٢ مبيوع ب 55 ,voursa.com,2025-05-02,Taille rue: 0.00 | Proche de: سكتير 6
200 متر مربع من سكتير 1 بلوكات ,Terrain,Vente,1550000,200.0,,,,Tevragh Zeina,Nouakchott,200 متر مربع من سكتير 1 بلوكات مبيوعه ب 15 ونص,voursa.com,2025-09-15,Taille rue: N/A | Proche de: سانتر متير 
نيمرو فكرن من سكتير 6 للبيع ,Terrain,Vente,7000000,700.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو فكرن من سكتير 6 مساحة 700م# مبيوع ب 70مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2026-02-03,Taille rue: 20.00 | Proche de: سكتير 6 
للإيجار فيلا ارضية بالقرب من إقامة دامبور تفرغ زينة افنور,Appartement/Maison,Location,30000,250.0,4.0,2.0,,Tevragh Zeina,Nouakchott,"للإيجــــــــــــــار 
 فيلا ارضية مستقيله 
المنطقة افنور بالقرب من إقامة جامبور  
تأجر ب 300 الف   
 ",voursa.com,2026-01-09,type de location: Location au mois | type de propriété: Villa | Taille rue: 20.00 | Proche de: داماك العقارية  | Caméra de sécurité
مطعم جاهز وله زبائن الحمد الله ,Local commercial/industriel,Vente,200000,100.0,,,,Toujounine,Nouakchott,بيع مطعم جاهز وفي مكان مناسب لدواعي السفر ,voursa.com,2025-10-26,Taille rue: N/A | Proche de: مطعم 
نيمرو فكرن من سكجيم m للبيع ,Terrain,Vente,2400000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو فكرن من سكجيم m مساحة 300م# مبيوع ب 24مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-04-05,Taille rue: N/A | Proche de: سكجيم m
نص نيمرو للبيع افعين الطلح من فوك احذ مجمع اللؤلؤة التجاري ,Terrain,Vente,1600000,150.0,,,,Teyarett,Nouakchott,"نص نيمرو للبيع افعين الطلح من فوك كد مجمع اللؤلؤة التجاري . اكريب من كدروه 

مساحة 150م² ( 10 ف 15 )
أوراق : ابرمة ابيومتريك ؤكتانص

اب 16 مليون قديمة 

41545765",voursa.com,2026-02-19,Titre foncier | Taille rue: 12.00 | Proche de: مجمع اللؤلؤة التجاري 
قطعة أرضية ,Terrain,Location,10000,300.0,,,,Ouad Naga,Nouakchott,گزرة اعلَ الطريق الرابط بين نواكشوط و روصو تبعد حوالي 300 ميطر من گدروه,voursa.com,2025-06-30,Taille rue: N/A | Proche de: 40ً كيل من نواكشوط على طريق روصو
300م# تكسم من h اسويت بالقرب من ادويرات كابيك للبيع ,Terrain,Vente,3000000,300.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ 300م# فاتح منها 20 اعلي شارع ف 15 داخله بالقرب من ادويرات كابيك مبيوع ب 30مليون للإستفسار اكثر اتصلوا على الرقم التالي 49546950,voursa.com,2025-12-07,Taille rue: N/A | Proche de: H اسويت
ديبلكس فعين طلح فاتح T,Appartement/Maison,Vente,1850000,150.0,5.0,2.0,,Teyarett,Nouakchott,"ديبلكس فعين طلح عند تيتير فاتح T
حد دور تلفنل اعل واتساب 26678975 ول تلفنل اعل 36147216 سعر 18مليون و500",voursa.com,2025-07-29,Titre foncier | 1 balcon(s) | Taille rue: 15.00 | Proche de: شارع طيطان
نمروللبيـــــــــــــــــــــع أفي المطار القديم بلوك 5,Terrain,Vente,5500000,500.0,,,,Dar Naim,Nouakchott,ذاكونيمرو ب50مليون  من بلوك5فكرن حد مهتم يتواصل معاي 27273277,voursa.com,2026-01-02,Taille rue: N/A | Proche de: نمرو اللبيع أفي المطار القديم بلوك 5
ابرتماه للبيع فعرفات بدخلو يومي ,Appartement/Maison,Vente,700000,150.0,4.0,1.0,,Arafat,Nouakchott,سعر 7 ملايين بدخل يومي وشهر حد شاري تلفنل 26678975 وعليه واتساب ,voursa.com,2025-09-01,Titre foncier | 1 balcon(s) | Taille rue: 10.00 | Proche de: عرفات دايه 10
 ابرتماه  ارضية في تفرغ زينة طريق الجامعة,Appartement/Maison,Location,15000,200.0,3.0,2.0,,Tevragh Zeina,Nouakchott,أرضية تتكون من صلوه وغرفة نوم وغرفة ثانية وجلستين ومكزينة ومطبخ وحمامين,voursa.com,2025-12-03,Titre foncier | type de location: Location au mois | Taille rue: 15.00 | Proche de: شارع مجمع الهيلالة  سكرتيرة 5 | Garage
نيمرو للبيع قرب الحماية المدنية,Terrain,Vente,2800000,700.0,,,,Tevragh Zeina,Nouakchott,فرصة نيمرو فاتح فبرك فرصة,voursa.com,2025-08-25,Taille rue: N/A | Proche de: الحماية المدنية
دار فلحي الساكن,Appartement/Maison,Vente,550000,150.0,4.0,2.0,,Dar Naim,Nouakchott,سعر 5ملايين و500 حد شاري تلفنل 26678975.36147216.حد ايدور عقار ولنمرو ول ديفيز تلفنل,voursa.com,2025-10-16,Titre foncier | 1 balcon(s) | Taille rue: 10.00 | Proche de: جسر الحي ساكن
منزل جديدة للبيــــــــــــــــــــــع فلفلوجة ,Appartement/Maison,Vente,22000000,180.0,3.0,2.0,,Arafat,Nouakchott,"السلام عليكم 
دار جديدة مافات اندخلت
  الفلوجة سوق الياقوت
 فاتح على شارع كبير فكرن كريب من كدروه
 المساحه 180م٢
 فيه صالوه ثلاث بيوت جلسه فراند  كراج كوزين  دوشات 
السعر 22 مليون",voursa.com,2025-12-02,Titre foncier | 1 balcon(s) | Taille rue: 30.00 | Proche de: سوق الياقوت  | Garage
نمروين للبيـــــــــــــــــــــع كريب من كرفور شرم الشيخ ,Terrain,Vente,900000,360.0,,,,Arafat,Nouakchott,"السلام عليكم 
نمروين للبيـــــــــــــــــــــع عرفات شرم الشيخ 
واحد فاتح على شارع كبيره فكرن شارع كبيره 
ثاني فاتح على شارع كبيره فكرن شارع 8
المساحة180م٢ 
المساحة الجمالية 360م٢ 
السعر 9 مليون",voursa.com,2026-01-10,Titre foncier | Taille rue: 40.00 | Proche de: كرفور شرم شيخ 
قطعة أرضية ,Terrain,Vente,490000,216.0,,,,Teyarett,Nouakchott,قطعة أرضية تبعد عن كدرونه الجاي من وقغة صكوك 4 ديار ,voursa.com,2025-05-30,Taille rue: 0.00 | Proche de: بين مدرسة العدالة وكرفور عين الطلح
قرصه 400م فصحراوي صانتر فيل ,Terrain,Vente,6500000,400.0,,,,Tevragh Zeina,Nouakchott,"قرصه 400م فصحراوي صانتر فيل فاتح عل شارع 15م وبلده ابيظ بل منين زيان الصحرواي مبيوع ب65مليون 
36707610",voursa.com,2025-06-26,Taille rue: N/A | Proche de: دار بدر 
نيمرو فكرن من سكتير 6 للبيع ,Terrain,Vente,6500000,600.0,,,,Tevragh Zeina,Nouakchott,السلام عليكم هذ نيمرو من سكتير 4 مساحة 600م#  فكرن يباع ب 65مليون للإستفسار اكثر. اتصلوا على الرقم التالي 49546950,voursa.com,2025-12-22,Taille rue: 20.00 | Proche de: سكتير 4
